X,Y,Z,Activity
-8.789722,1.82261,-3.709885,Sit
-8.794512,1.79866,-3.69312,Sit
-8.741821,1.7795,-3.68354,Sit
-8.763377,1.78429,-3.68354,Sit
-8.823253,1.834585,-3.66438,Sit
-8.883128,1.87051,-3.652405,Sit
-8.828042,1.882485,-3.65959,Sit
-8.739427,1.87051,-3.666775,Sit
-8.691526,1.858535,-3.65959,Sit
-8.710687,1.87051,-3.69312,Sit
-8.806487,1.901646,-3.705095,Sit
-8.863968,1.872905,-3.700305,Sit
-8.765772,1.820215,-3.67396,Sit
-8.698711,1.79387,-3.64043,Sit
-8.760982,1.755549,-3.618875,Sit
-8.840017,1.79387,-3.527864,Sit
-8.957374,1.86572,-3.511099,Sit
-8.964559,1.839375,-3.532654,Sit
-8.904683,1.810635,-3.530259,Sit
-8.866363,1.767524,-3.530259,Sit
-8.832832,1.777105,-3.525469,Sit
-8.849598,1.810635,-3.544629,Sit
-8.909473,1.872905,-3.556604,Sit
-8.919053,1.908831,-3.525469,Sit
-8.851993,1.896856,-3.532654,Sit
-8.796907,1.868115,-3.573369,Sit
-8.741821,1.892066,-3.578159,Sit
-8.868757,1.927991,-3.530259,Sit
-8.909473,1.930386,-3.556604,Sit
-8.811277,1.901646,-3.590134,Sit
-8.741821,1.8753,-3.590134,Sit
-8.763377,1.882485,-3.59732,Sit
-8.813672,1.853745,-3.63085,Sit
-8.842413,1.81303,-3.64043,Sit
-8.828042,1.760339,-3.575764,Sit
-8.813672,1.736389,-3.59253,Sit
-8.825647,1.762734,-3.590134,Sit
-8.828042,1.777105,-3.568579,Sit
-8.828042,1.796265,-3.542234,Sit
-8.859178,1.82261,-3.539839,Sit
-8.856783,1.84656,-3.547024,Sit
-8.863968,1.8753,-3.518284,Sit
-8.840017,1.920806,-3.532654,Sit
-8.866363,1.935176,-3.585344,Sit
-8.861572,1.904041,-3.582949,Sit
-8.818462,1.887275,-3.556604,Sit
-8.801697,1.848955,-3.551814,Sit
-8.830438,1.83698,-3.573369,Sit
-8.854387,1.82261,-3.594924,Sit
-8.880733,1.781895,-3.609295,Sit
-8.796907,1.748364,-3.609295,Sit
-8.777747,1.745969,-3.594924,Sit
-8.840017,1.743574,-3.556604,Sit
-8.887918,1.777105,-3.556604,Sit
-8.902288,1.801055,-3.573369,Sit
-8.832832,1.80345,-3.580554,Sit
-8.784932,1.84656,-3.561394,Sit
-8.837623,1.853745,-3.532654,Sit
-8.871153,1.85614,-3.544629,Sit
-8.847202,1.86572,-3.580554,Sit
-8.787327,1.815425,-3.573369,Sit
-8.777747,1.796265,-3.573369,Sit
-8.854387,1.839375,-3.566184,Sit
-8.909473,1.86093,-3.575764,Sit
-8.861572,1.80345,-3.566184,Sit
-8.775352,1.772315,-3.580554,Sit
-8.760982,1.76992,-3.568579,Sit
